Tanggal,Jam,Tanggal Jam,Meninggal,Sembuh,Self Isolation,Masih Perawatan,Total Pasien,Positif Harian,Positif Aktif,Sembuh Harian,Tanpa Gejala,Bergejala,Belum Ada Data
01/03/2020 ,,,0,0,0,0,0,0,0,0,,,
02/03/2020 ,,,0,0,0,0,0,0,0,0,,,
03/03/2020 ,,,1,0,0,2,3,3,2,0,,,
04/03/2020 ,,,1,0,0,2,3,0,2,0,,,
05/03/2020 ,,,3,0,0,4,7,4,4,0,,,
06/03/2020 ,,,3,0,0,4,7,0,4,0,,,
07/03/2020 ,,,3,0,0,4,7,0,4,0,,,
08/03/2020 ,,,3,0,0,4,7,0,4,0,,,
09/03/2020 ,,,3,0,0,31,34,27,31,0,,,
10/03/2020 ,,,3,0,0,31,34,0,31,0,,,
11/03/2020 ,,,3,0,0,33,36,2,33,0,,,
12/03/2020 ,,,5,0,0,57,62,26,57,0,,,
13/03/2020 ,,,7,0,0,65,72,10,65,0,,,
14/03/2020 ,,,9,0,0,70,79,7,70,0,,,
15/03/2020 ,,,11,0,0,84,95,16,84,0,,,
16/03/2020 ,,,12,0,7,78,97,2,85,0,,,
17/03/2020 ,,,12,0,27,83,122,25,110,0,,,
18/03/2020 ,,,15,12,42,91,160,38,133,12,,,
19/03/2020 ,,,19,13,57,121,210,50,178,1,,,
20/03/2020 ,,,20,13,66,125,224,14,191,0,,,
21/03/2020 ,,,23,17,71,157,268,44,228,4,,,
22/03/2020 ,,,29,21,77,177,304,36,254,4,,,
23/03/2020 ,,,29,22,79,225,355,51,304,1,,,
24/03/2020 ,,,34,23,109,260,426,71,369,1,,,
25/03/2020 ,,,43,27,112,290,472,46,402,4,,,
26/03/2020 ,,,49,29,113,324,515,43,437,2,,,
27/03/2020 ,,,57,31,132,346,566,51,478,2,,,
28/03/2020 ,,,62,43,134,364,603,37,498,12,,,
29/03/2020 ,,,67,48,151,435,701,98,586,5,,,
30/03/2020 ,,,78,49,151,449,727,26,600,1,,,
31/03/2020 ,,,84,49,157,451,741,14,608,0,,,
01/04/2020 ,,,90,51,176,499,816,75,675,2,,,
02/04/2020 ,,,95,54,195,565,909,93,760,3,,,
03/04/2020 ,,,98,56,209,627,990,81,836,2,,,
04/04/2020 ,,,99,58,223,691,1071,81,914,2,,,
05/04/2020 ,,,123,64,279,685,1151,80,964,6,,,
06/04/2020 ,,,131,68,317,783,1299,148,1100,4,,,
07/04/2020 ,,,141,69,338,895,1443,144,1233,1,,,
08/04/2020 ,,,144,75,357,976,1552,109,1333,6,,,
09/04/2020 ,,,155,82,405,1077,1719,167,1482,7,,,
10/04/2020 ,,,156,82,433,1139,1810,91,1572,0,,,
11/04/2020 ,,,168,142,441,1152,1903,93,1593,60,,,
12/04/2020 ,,,195,142,468,1277,2082,179,1745,0,,,
13/04/2020 ,,,209,142,521,1370,2242,160,1891,0,,,
14/04/2020 ,,,243,163,558,1385,2349,107,1943,21,,,
15/04/2020 ,,,246,164,613,1424,2447,98,2037,1,,,
16/04/2020 ,,,248,202,619,1601,2670,223,2220,38,,,
17/04/2020 ,,,250,203,643,1727,2823,153,2370,1,,,
18/04/2020 ,,,257,206,670,1769,2902,79,2439,3,,,
19/04/2020 ,,,292,207,695,1839,3033,131,2534,1,,,
20/04/2020 ,,,297,237,752,1826,3112,79,2578,30,,,
21/04/2020 ,,,305,286,753,1935,3279,167,2688,49,,,
22/04/2020 ,,,308,291,815,1985,3399,120,2800,5,,,
23/04/2020 ,,,316,292,888,2010,3506,107,2898,1,,,
24/04/2020 ,,,331,327,959,1988,3605,99,2947,35,,,
25/04/2020 ,,,350,334,1050,1947,3681,76,2997,7,,,
26/04/2020 ,,,357,338,1099,1952,3746,65,3051,4,,,
27/04/2020 ,,,375,338,1169,1950,3832,86,3119,0,,,
28/04/2020 ,,,379,341,1206,2024,3950,118,3230,3,,,
29/04/2020 ,,,381,412,1238,2002,4033,83,3240,71,,,
30/04/2020 ,,,381,412,1272,2073,4138,105,3345,0,,,
01/05/2020 ,,,393,427,1312,2151,4283,145,3463,15,,,
02/05/2020 ,,,400,562,1304,2089,4355,72,3393,135,,,
03/05/2020 ,,,410,622,1323,2062,4417,62,3385,60,,,
04/05/2020 ,,,412,650,1330,2080,4472,55,3410,28,,,
05/05/2020 ,,,414,711,1370,2146,4641,169,3516,61,,,
06/05/2020 ,,,420,713,1381,2195,4709,68,3576,2,,,
07/05/2020 ,,,430,718,1431,2196,4775,66,3627,5,,,
08/05/2020 ,,,431,763,1426,2281,4901,126,3707,45,,,
09/05/2020 ,,,437,767,1442,2312,4958,57,3754,4,,,
10/05/2020 ,,,444,803,1533,2360,5140,182,3893,36,,,
11/05/2020 ,,,453,836,1648,2258,5195,55,3906,33,,,
12/05/2020 ,,,457,1262,1741,1843,5303,108,3584,426,,,
13/05/2020 ,,,461,1277,1866,1833,5437,134,3699,15,,,
14/05/2020 ,,,466,1279,1995,1877,5617,180,3872,2,,,
15/05/2020 ,,,474,1286,2019,1900,5679,62,3919,7,,,
16/05/2020 ,,,475,1292,2120,1908,5795,116,4028,6,,,
17/05/2020 ,,,478,1295,2217,1932,5922,127,4149,3,,,
18/05/2020 ,,,483,1301,2266,1946,5996,74,4212,6,,,
19/05/2020 ,,,487,1417,2213,1936,6053,57,4149,116,,,
20/05/2020 ,,,493,1425,2263,1969,6150,97,4232,8,,,
21/05/2020 ,,,498,1536,2231,1955,6220,70,4186,111,,,
22/05/2020 ,,,501,1558,2282,1975,6316,96,4257,22,,,
23/05/2020 ,,,504,1587,2346,2006,6443,127,4352,29,,,
24/05/2020 ,,,505,1594,2431,2031,6561,118,4462,7,,,
25/05/2020 ,,,506,1648,2430,2044,6628,67,4474,54,,,
26/05/2020 ,,,508,1678,2459,2044,6689,61,4503,30,,,
27/05/2020 ,,,510,1698,2584,2034,6826,137,4618,20,,,
28/05/2020 ,,,514,1719,2641,2055,6929,103,4696,21,,,
29/05/2020 ,,,517,1807,2722,2007,7053,124,4729,88,,,
30/05/2020 ,,,519,2003,2781,1848,7151,98,4629,196,,,
31/05/2020 ,,,520,2102,2827,1823,7272,121,4650,99,,,
01/06/2020 ,,,521,2246,2822,1794,7383,111,4616,144,,,
02/06/2020 ,,,525,2405,2786,1743,7459,76,4529,159,,,
03/06/2020 ,,,529,2534,2777,1699,7539,80,4476,129,,,
04/06/2020 ,,,530,2607,2793,1670,7600,61,4463,73,,,
05/06/2020 ,,,532,2751,2768,1633,7684,84,4401,144,,,
06/06/2020 ,,,535,2840,2776,1635,7786,102,4411,89,,,
07/06/2020 ,,,537,3170,2794,1445,7946,160,4239,330,,,
08/06/2020 ,,,538,3205,2846,1448,8037,91,4294,35,,,
09/06/2020 ,,,547,3369,2918,1442,8276,239,4360,164,,,
10/06/2020 ,,,551,3517,2928,1427,8423,147,4355,148,,,
11/06/2020 ,,,555,3664,2887,1446,8552,129,4333,147,,,
12/06/2020 ,,,561,3780,2863,1424,8628,76,4287,116,,,
13/06/2020 ,,,564,3840,2925,1419,8748,120,4344,60,,,
14/06/2020 ,,,571,4091,2833,1368,8863,115,4201,251,,,
15/06/2020 ,,,580,4198,2800,1390,8968,105,4190,107,,,
16/06/2020 ,,,583,4329,2764,1416,9092,124,4180,131,,,
17/06/2020 ,,,588,4444,2775,1402,9209,117,4177,115,,,
18/06/2020 ,,,594,4592,2822,1377,9385,176,4199,148,,,
19/06/2020 ,,,599,4682,2862,1382,9525,140,4244,90,,,
20/06/2020 ,,,603,4821,2939,1340,9703,178,4279,139,,,
21/06/2020 ,,,615,5054,2874,1287,9830,127,4161,233,,,
22/06/2020 ,,,618,5128,2901,1310,9957,127,4211,74,,,
23/06/2020 ,,,619,5228,2957,1319,10123,166,4276,100,,,
24/06/2020 ,,,628,5322,2978,1349,10277,154,4327,94,,,
25/06/2020 ,,,631,5435,3068,1338,10472,195,4406,113,,,
26/06/2020 ,,,632,5542,3136,1330,10640,168,4466,107,,,
27/06/2020 ,,,632,5610,3256,1355,10853,213,4611,68,,,
28/06/2020 ,,,635,5865,3163,1322,10985,132,4485,255,,,
29/06/2020 ,,,636,6118,3299,1027,11080,95,4326,253,,,
30/06/2020 ,,,641,6512,3172,951,11276,196,4123,394,,,
01/07/2020 ,,,644,6680,3269,889,11482,206,4158,168,,,
02/07/2020 ,,,646,6871,3356,804,11677,195,4160,191,,,
03/07/2020 ,,,648,7109,3331,736,11824,147,4067,238,,,
04/07/2020 ,,,650,7377,3366,646,12039,215,4012,268,,,
05/07/2020 ,,,658,7663,3390,584,12295,256,3974,286,,,
06/07/2020 ,,,658,8033,3340,495,12526,231,3835,370,,,
07/07/2020 ,,,664,8277,3379,405,12725,199,3784,244,,,
08/07/2020 ,,,667,8429,3556,417,13069,344,3973,152,,,
09/07/2020 ,,,677,8647,3584,451,13359,290,4035,218,,,
10/07/2020 ,,,684,8825,3613,476,13598,239,4089,178,,,
11/07/2020 ,,,690,9040,3732,495,13957,359,4227,215,,,
12/07/2020 ,,,702,9200,3905,554,14361,404,4459,160,,,
13/07/2020 ,,,710,9408,3924,597,14639,278,4521,208,,,
14/07/2020 ,,,714,9528,4053,619,14914,275,4672,120,,,
15/07/2020 ,,,720,9721,4041,691,15173,259,4732,193,,,
16/07/2020 ,,,722,9857,4110,777,15466,293,4887,136,,,
17/07/2020 ,,,731,9994,4156,826,15707,241,4982,137,,,
18/07/2020 ,,,740,10117,4289,892,16038,331,5181,123,,,
19/07/2020 ,,,748,10444,4236,923,16351,313,5159,327,8503,5362,2486
20/07/2020 ,,,749,10602,4335,1026,16712,361,5361,158,8356,5760,2596
21/07/2020 ,,,758,10864,4458,1073,17153,441,5531,262,8577,5832,2744
22/07/2020 ,,,766,11187,4383,1193,17529,376,5576,323,8767,5962,2800
23/07/2020 ,,,767,11302,4675,1201,17945,416,5876,115,8770,6283,2892
24/07/2020 ,,,768,11585,4577,1300,18230,285,5877,283,8770,6283,3177
